# Lp. sigma sigma_kor w_t³. f_t³. w_nie_t³. f_nie_t³. ksi ksi_kor licznik
81.00000000 -2.73250090 -0.73250090 497.20232867 79.13220827 497.21181293 79.13371778 0.54956420 0.14732240 5.00000000
75.00000000 -5.17872776 -3.17872776 446.07918791 70.99570777 446.11145140 71.00084254 1.16088040 0.71255260 5.00000000
74.00000000 -6.35983325 -4.35983325 401.65116388 63.92476818 401.70519480 63.93336751 1.58332860 1.08545020 5.00000000
37.00000000 -5.33017155 -3.33017155 441.38869779 70.24919313 441.42489946 70.25495451 1.20761160 0.75452120 5.00000000
47.00000000 -4.67742281 -2.67742281 215.89155215 34.36020776 215.94697753 34.36902893 2.16508220 1.23893240 5.00000000
48.00000000 -8.84043810 -6.84043810 298.49560486 47.50705094 298.67926900 47.53628201 2.95514220 2.28555040 5.00000000
34.00000000 -5.85784176 -3.85784176 292.46350643 46.54701263 292.54528361 46.56002784 2.00428980 1.32061880 5.00000000
64.00000000 -5.29398920 -3.29398920 341.18203020 54.30080660 341.23152700 54.30868420 1.55118000 0.96508000 5.00000000
12.00000000 -7.48161920 -5.48161920 437.22404250 69.58636745 437.30013642 69.59847817 1.71047900 1.25312660 5.00000000
62.00000000 -7.14561760 -5.14561760 431.10705620 68.61281880 431.22158300 68.63104660 1.65666000 1.19286000 5.00000000
58.00000000 -6.91222020 -4.91222020 328.85244540 52.33849240 328.92848860 52.35059500 2.10080000 1.49278000 5.00000000
45.00000000 -5.67038233 -3.67038233 458.96440017 73.04645300 459.01368350 73.05429667 1.23600000 0.80028333 6.00000000
16.00000000 -6.84283833 -4.84283833 316.96902200 50.44718650 317.05965700 50.46161167 2.15821667 1.52740000 6.00000000
9.00000000 -7.19240130 -5.19240130 347.67253519 55.33380256 347.76482923 55.34849159 2.06718233 1.49208950 6.00000000
73.00000000 -5.79801631 -3.79801631 308.65226668 49.12353382 308.71318755 49.13322987 1.87823933 1.23037733 6.00000000
59.00000000 -7.36663155 -5.36663155 471.58228022 75.05465109 471.66701010 75.06813629 1.56230050 1.13828767 6.00000000
66.00000000 -7.06377225 -5.06377225 351.39385953 55.92606976 351.49818305 55.94267335 2.00897700 1.43996486 7.00000000
