#lp	x	y	z
1	300	400	200
2	300	700	200
3	0	700	200
4	0	400	200
5	300	400	720
6	300	700	720
7	0	700	720
8	0	400	720
9	300	400	1240
10	300	700	1240
11	0	700	1240
12	0	400	1240
13	300	400	1760
14	300	700	1760
15	0	700	1760
16	0	400	1760
17	300	400	2060
18	300	700	2060
19	0	700	2060
20	0	400	2060
21	300	400	2360
22	300	700	2360
23	0	700	2360
24	0	400	2360
25	300	400	2660
26	300	700	2660
27	0	700	2660
28	0	400	2660
29	200	0	1760
30	200	1100	1760
31	100	1100	1760
32	100	0	1760
33	200	0	2360
34	200	1100	2360
35	100	1100	2360
36	100	0	2360
