# lp x y z
1.000000 324.270000 408.160000 200.000000
2.000000 318.990000 706.410000 200.000000
3.000000 19.110000 694.030000 200.000000
4.000000 18.000000 399.000000 200.000000
5.000000 380.610000 426.180000 720.000000
6.000000 374.100000 724.450000 720.000000
7.000000 74.040000 675.440000 720.000000
8.000000 55.410000 382.020000 720.000000
9.000000 429.570000 443.100000 1240.000000
10.000000 418.110000 738.840000 1240.000000
11.000000 124.830000 658.580000 1240.000000
12.000000 93.750000 369.730000 1240.000000
13.000000 456.420000 451.570000 1760.000000
14.000000 461.520000 753.040000 1760.000000
15.000000 152.250000 650.000000 1760.000000
16.000000 168.000000 345.150000 1760.000000
17.000000 487.770000 461.750000 2060.000000
18.000000 496.620000 765.910000 2060.000000
19.000000 187.740000 639.760000 2060.000000
20.000000 182.010000 341.790000 2060.000000
21.000000 525.030000 472.770000 2360.000000
22.000000 545.160000 788.540000 2360.000000
23.000000 210.930000 628.970000 2360.000000
24.000000 219.000000 326.770000 2360.000000
25.000000 552.000000 481.740000 2660.000000
26.000000 597.240000 789.600000 2660.000000
27.000000 235.440000 618.170000 2660.000000
28.000000 260.130000 314.090000 2660.000000
29.000000 394.040000 62.210000 1760.000000
30.000000 343.850000 1141.000000 1760.000000
31.000000 282.850000 1041.540000 1760.000000
32.000000 259.390000 -49.340000 1760.000000
33.000000 433.880000 78.060000 2360.000000
34.000000 419.450000 1165.420000 2360.000000
35.000000 357.400000 1018.370000 2360.000000
36.000000 310.000000 -72.350000 2360.000000
