# Lp. sigma sigma_kor w_t�. f_t�. w_nie_t�. f_nie_t�. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.59610470 -0.59610470 82.80393110 13.17865494 82.84461820 13.18513050 0.03133703 0.00719545 -0.08259124 -0.70907934 -0.00004142
2.00000000 -2.54228354 -0.54228354 113.01843827 17.98744311 113.04702825 17.99199335 0.02248873 0.00479697 0.01956066 0.82917489 0.00002500
# Bieguny w przedziale od 30 do 75 Hz
1.000000 -4.600795 -2.600795 215.646017 34.321130 215.695091 34.328940 0.021330 0.012058 -0.232726 -0.794220 -0.000004
2.000000 -2.719414 -0.719414 237.058825 37.729084 237.074422 37.731566 0.011471 0.003035 0.442363 1.540600 0.000011
3.000000 -12.922949 -10.922949 238.153531 37.903312 238.503893 37.959074 0.054183 0.045798 -0.103795 0.816188 0.000011
4.000000 -9.838851 -7.838851 357.112196 56.836171 357.247706 56.857738 0.027541 0.021942 0.292024 -0.346930 -0.000001
5.000000 -5.305553 -3.305553 380.862132 60.616091 380.899085 60.621972 0.013929 0.008678 -0.979976 -1.769835 -0.000002
6.000000 -5.306400 -3.306400 408.698147 65.046330 408.732594 65.051813 0.012983 0.008089 0.413807 0.312546 0.000001
7.000000 -9.288503 -7.288503 433.279037 68.958500 433.378587 68.974344 0.021433 0.016818 0.911389 0.138176 -0.000001
8.000000 -2.909336 -0.909336 449.019876 71.463733 449.029301 71.465233 0.006479 0.002025 -0.514825 -2.034127 -0.000004
9.000000 -4.832436 -2.832436 465.444018 74.077716 465.469104 74.081709 0.010382 0.006085 -0.313997 0.517630 0.000001
# Bieguny w przedziale od 75 do 80 Hz
1.00000000 -2.56730820 -0.56730820 476.18938368 75.78789426 476.19630427 75.78899571 0.00539128 0.00119133 0.03009831 -0.16609774 0.00000019
2.00000000 -2.17975188 -0.17975188 480.60714174 76.49100229 480.61208475 76.49178900 0.00453537 0.00037401 0.11809931 -0.07042186 -0.00000014
3.00000000 -2.18411538 -0.18411538 486.37339833 77.40873053 486.37830232 77.40951103 0.00449057 0.00037854 0.02095550 0.00015540 0.00000024
4.00000000 -2.89897964 -0.89897964 495.27537930 78.82552481 495.28386348 78.82687511 0.00585317 0.00181508 0.18005833 -0.07757459 -0.00000008
