# Lp. sigma sigma_kor w_t³. f_t³. w_nie_t³. f_nie_t³. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.69741889 -0.69741889 82.59668396 13.14567054 82.64071799 13.15267877 0.03264031 0.00843917 0.12509802 1.08517971 0.00006175
2.00000000 -2.72013443 -0.72013443 112.61468470 17.92318373 112.64753145 17.92841146 0.02414731 0.00639281 -0.04320427 -1.53247829 -0.00004368
# Bieguny w przedziale od 25 do 50 Hz
1.000000 -4.610381 -2.610381 216.419671 34.444260 216.468773 34.452075 0.021298 0.012059 -0.444120 -0.946624 -0.000006
2.000000 -3.674551 -1.674551 236.041677 37.567200 236.070277 37.571751 0.015565 0.007093 0.867288 3.266773 0.000017
3.000000 -43.628767 -41.628767 271.455001 43.203405 274.938697 43.757853 0.158685 0.151411 0.752407 0.333175 -0.000001
# Bieguny w przedziale od 50 do 57.5 Hz
1.000000 -3.089866 -1.089866 341.885053 54.412696 341.899015 54.414918 0.009037 0.003188 -0.003685 0.021345 -0.000000
2.000000 -3.303192 -1.303192 357.328175 56.870545 357.343442 56.872975 0.009244 0.003647 -0.068714 -0.041096 -0.000000
# Bieguny w przedziale od 57.5 do 80 Hz
1.000000 -6.127319 -4.127319 365.825140 58.222879 365.876450 58.231046 0.016747 0.011281 0.198980 0.040912 -0.000000
2.000000 -6.014180 -4.014180 374.964717 59.677488 375.012945 59.685164 0.016037 0.010704 0.045262 0.122949 -0.000000
3.000000 -3.704830 -1.704830 410.567291 65.343814 410.584006 65.346474 0.009023 0.004152 -0.176884 0.483876 0.000001
4.000000 -3.430584 -1.430584 448.014791 71.303769 448.027925 71.305859 0.007657 0.003193 0.082052 0.780971 0.000001
5.000000 -4.292655 -2.292655 478.116292 76.094571 478.135562 76.097638 0.008978 0.004795 0.024830 -0.128958 -0.000000
6.000000 -2.258329 -0.258329 492.876502 78.443732 492.881676 78.444555 0.004582 0.000524 -0.066864 0.053816 0.000000
7.000000 -8.084491 -6.084491 494.443982 78.693204 494.510071 78.703722 0.016348 0.012304 0.412341 -0.166331 0.000000
