# Lp. sigma sigma_kor w_t�. f_t�. w_nie_t�. f_nie_t�. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.33863307 -0.33863307 82.82567152 13.18211504 82.85868130 13.18736871 0.02822436 0.00408688 -0.11655838 -1.10665261 -0.00007031
2.00000000 -2.70653898 -0.70653898 112.84416502 17.95970666 112.87661818 17.96487174 0.02397785 0.00625939 -0.00651896 -2.48070660 -0.00007396
3.00000000 -34.81550110 -32.81550110 159.34554235 25.36063073 163.10463201 25.95890843 0.21345501 0.20119294 -1.13158309 1.18272859 -0.00000326
# Bieguny w przedziale od 30 do 45 Hz
1.00000000 -3.07121660 -1.07121660 234.37087928 37.30128395 234.39100116 37.30448645 0.01310296 0.00457021 1.04150143 -6.55765616 -0.00003503
2.00000000 -71.82665296 -69.82665296 256.77294043 40.86668272 266.62972642 42.43543894 0.26938727 0.26188623 -14.16304054 0.04023974 -0.00000731
# Bieguny w przedziale od 55 do 78 Hz
1.00000000 -6.92803302 -4.92803302 351.43125327 55.93202111 351.49953544 55.94288856 0.01970994 0.01402003 -0.00308941 -0.09429895 0.00000133
2.00000000 -4.52396305 -2.52396305 365.84638771 58.22626102 365.87435773 58.23071258 0.01236480 0.00689844 -0.04234157 -0.05676092 -0.00000106
3.00000000 -6.51849546 -4.51849546 382.46245593 60.87079041 382.51800085 60.87963066 0.01704102 0.01181250 -0.09963185 -1.17721531 -0.00000161
4.00000000 -2.57867410 -0.57867410 410.06554713 65.26395882 410.07365497 65.26524922 0.00628832 0.00141115 0.00030844 0.04983089 0.00000106
5.00000000 -3.89238593 -1.89238593 429.33467168 68.33073524 429.35231568 68.33354337 0.00906572 0.00440754 0.01696072 -0.61667686 -0.00000123
6.00000000 -2.59341441 -0.59341441 448.42350340 71.36881716 448.43100272 71.37001072 0.00578331 0.00132331 0.13785603 -0.85865043 -0.00000203
7.00000000 -17.93115401 -15.93115401 455.72272411 72.53052422 456.07535293 72.58664684 0.03931621 0.03493097 -2.35414920 -0.29485989 -0.00000199
8.00000000 -3.54559113 -1.54559113 468.12116515 74.50379740 468.13459227 74.50593439 0.00757387 0.00330160 0.02333162 -0.03341576 0.00000148
9.00000000 -2.58945978 -0.58945978 480.46869325 76.46896753 480.47567107 76.47007809 0.00538937 0.00122683 0.06040144 -0.00441712 0.00000113
