# Lp. sigma sigma_kor w_t³. f_t³. w_nie_t³. f_nie_t³. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.52355318 -0.52355318 82.22058569 13.08581264 82.25930362 13.09197479 0.03067803 0.00636467 -0.20560562 -1.47736108 -0.00008671
2.00000000 -2.80362241 -0.80362241 112.37438761 17.88493926 112.40935588 17.89050464 0.02494118 0.00714907 -0.18261269 -3.08305248 -0.00008708
# Bieguny w przedziale od 26 do 45 Hz
1.000000 -6.411129 -4.411129 214.746437 34.177957 214.842116 34.193185 0.029841 0.020532 0.831257 0.782949 0.000010
2.000000 -3.797109 -1.797109 234.658655 37.347085 234.689374 37.351974 0.016179 0.007657 1.627435 9.099057 0.000042
# Bieguny w przedziale od 45 do 63 Hz
1.000000 -6.527069 -4.527069 298.217133 47.462731 298.288554 47.474098 0.021882 0.015177 0.027029 -0.119334 -0.000001
2.000000 -5.256064 -3.256064 328.324083 52.254401 328.366152 52.261096 0.016007 0.009916 0.058931 -0.172327 -0.000001
3.000000 -8.752520 -6.752520 360.335939 57.349246 360.442223 57.366161 0.024283 0.018734 -0.030608 -0.658918 -0.000001
4.000000 -4.001576 -2.001576 380.360467 60.536249 380.381516 60.539599 0.010520 0.005262 -0.365340 0.483855 0.000001
# Bieguny w przedziale od 63 do 74 Hz
1.000000 -8.312013 -6.312013 403.472846 64.214698 403.558455 64.228323 0.020597 0.015641 -0.332022 -0.342476 -0.000001
2.000000 -3.507852 -1.507852 410.393404 65.316139 410.408396 65.318525 0.008547 0.003674 -0.899082 -0.294982 -0.000002
3.000000 -6.282741 -4.282741 428.834124 68.251071 428.880145 68.258395 0.014649 0.009986 0.351198 0.560733 0.000001
4.000000 -2.659108 -0.659108 448.333799 71.354540 448.341684 71.355795 0.005931 0.001470 -0.302330 1.022879 0.000003
5.000000 -16.375463 -14.375463 452.121106 71.957309 452.417562 72.004491 0.036195 0.031775 1.679704 3.177179 0.000002
# Bieguny w przedziale od 74 do 80 Hz
1.000000 -4.482497 -2.482497 469.186855 74.673407 469.208267 74.676815 0.009553 0.005291 0.085573 0.217050 0.000001
2.000000 -2.145420 -0.145420 476.088872 75.771897 476.093706 75.772667 0.004506 0.000305 -0.063670 -0.000250 0.000001
3.000000 -4.376504 -2.376504 481.174497 76.581300 481.194399 76.584467 0.009095 0.004939 -0.186086 0.371049 0.000001
4.000000 -2.952846 -0.952846 495.490235 78.859720 495.499033 78.861120 0.005959 0.001923 -0.173262 -0.302785 -0.000001
5.000000 -2.707808 -0.707808 499.604292 79.514493 499.611630 79.515661 0.005420 0.001417 -0.109854 -0.297706 -0.000001
