# Lp. sigma sigma_kor w_t�. f_t�. w_nie_t�. f_nie_t�. ksi ksi_kor Re[R] Im[R] Amplituda
# Bieguny w przedziale od 10 do 45 Hz
1.000000 -2.639695 -0.639695 81.681844 13.000069 81.724486 13.006856 0.032300 0.007827 -0.040545 0.771619 0.000041
2.000000 -66.280402 -64.280402 81.749779 13.010881 105.243138 16.749966 0.629784 0.610780 4.352363 1.533059 0.000041
3.000000 -3.058742 -1.058742 111.694892 17.776794 111.736766 17.783459 0.027375 0.009475 -0.323227 -1.416850 -0.000040
4.000000 -12.160347 -10.160347 212.092951 33.755641 212.441271 33.811078 0.057241 0.047827 -2.639540 8.811077 0.000023
5.000000 -3.356496 -1.356496 215.888901 34.359786 215.914992 34.363938 0.015545 0.006283 2.403355 -0.661703 0.000019
6.000000 -3.008507 -1.008507 235.426210 37.469245 235.445432 37.472304 0.012778 0.004283 0.696578 0.765735 0.000011
7.000000 -2.254752 -0.254752 278.789571 44.370738 278.798689 44.372189 0.008087 0.000914 0.009398 0.002231 0.000002
# Bieguny w przedziale od 42 do 78 Hz
1.000000 -13.944329 -11.944329 272.412401 43.355780 272.769061 43.412544 0.051121 0.043789 -0.140043 0.144448 0.000002
2.000000 -8.326180 -6.326180 311.492010 49.575493 311.603270 49.593201 0.026720 0.020302 0.045717 -0.053724 0.000001
3.000000 -10.150373 -8.150373 345.397051 54.971648 345.546166 54.995380 0.029375 0.023587 -0.131296 -0.301126 0.000001
4.000000 -5.368417 -3.368417 380.811757 60.608073 380.849595 60.614096 0.014096 0.008844 0.953774 -0.594203 -0.000002
5.000000 -36.594850 -34.594850 390.461984 62.143955 392.173105 62.416288 0.093313 0.088213 6.761493 0.804572 -0.000001
6.000000 -4.952521 -2.952521 409.684749 65.203353 409.714683 65.208117 0.012088 0.007206 -0.020715 1.338855 0.000001
7.000000 -2.564402 -0.564402 447.536383 71.227628 447.543730 71.228797 0.005730 0.001261 0.020659 0.922773 0.000001
8.000000 -4.879066 -2.879066 467.672371 74.432370 467.697821 74.436420 0.010432 0.006156 0.997674 -0.117030 -0.000002
9.000000 -3.720185 -1.720185 477.729909 76.033076 477.744393 76.035382 0.007787 0.003601 -0.765032 0.006994 -0.000001
