# Lp. sigma sigma_kor w_t�. f_t�. w_nie_t�. f_nie_t�. ksi ksi_kor Re[R] Im[R] Amplituda
# Bieguny w przedziale od 10 do 44 Hz
1.000000 -2.253946 -0.253946 82.972621 13.205503 83.003229 13.210374 0.027155 0.003059 -0.383291 -0.942099 -0.000070
2.000000 -3.818397 -1.818397 111.449760 17.737780 111.515152 17.748188 0.034241 0.016306 -1.025610 -3.390921 -0.000078
3.000000 -27.949672 -25.949672 166.862303 26.556960 169.186916 26.926934 0.165200 0.153379 -3.052905 -0.697777 0.000009
4.000000 -8.216661 -6.216661 210.914565 33.568096 211.074554 33.593559 0.038928 0.029452 4.259224 3.827534 0.000014
5.000000 -2.727911 -0.727911 236.371234 37.619650 236.386974 37.622155 0.011540 0.003079 -0.746980 -0.976413 -0.000008
# Bieguny w przedziale od 44 do 62 Hz
1.000000 -11.055002 -9.055002 279.582718 44.496972 279.801196 44.531743 0.039510 0.032362 0.655764 0.126797 -0.000000
2.000000 -2.103703 -0.103703 283.787758 45.166225 283.795556 45.167465 0.007413 0.000365 0.007708 -0.002831 -0.000001
3.000000 -8.774967 -6.774967 292.439979 46.543268 292.571601 46.564216 0.029993 0.023157 -0.108506 0.841500 -0.000000
4.000000 -8.768758 -6.768758 309.782332 49.303389 309.906413 49.323137 0.028295 0.021841 -0.466031 -0.487485 -0.000001
5.000000 -5.922067 -3.922067 324.479992 51.642595 324.534030 51.651195 0.018248 0.012085 0.307342 -0.035250 -0.000001
6.000000 -5.219598 -3.219598 341.121886 54.291234 341.161817 54.297590 0.015299 0.009437 -0.149134 -0.103658 -0.000001
7.000000 -5.685156 -3.685156 359.706441 57.249058 359.751365 57.256208 0.015803 0.010244 -0.332798 0.060768 -0.000001
8.000000 -6.805124 -4.805124 377.896604 60.144112 377.957872 60.153864 0.018005 0.012713 -2.005669 0.163536 -0.000002
9.000000 -3.272908 -1.272908 383.798077 61.083361 383.812032 61.085582 0.008527 0.003316 0.047596 -0.017951 0.000001
# Bieguny w przedziale od 62 do 80 Hz
1.000000 -6.556780 -4.556780 399.690856 63.612775 399.744633 63.621334 0.016402 0.011399 0.175551 0.801351 -0.000000
2.000000 -5.294946 -3.294946 410.144820 65.276576 410.178997 65.282015 0.012909 0.008033 0.728703 2.415676 0.000001
3.000000 -7.768865 -5.768865 427.787147 68.084439 427.857685 68.095666 0.018158 0.013483 -5.311266 -0.549219 -0.000003
4.000000 -8.132341 -6.132341 447.572433 71.233365 447.646309 71.245123 0.018167 0.013699 -2.657066 -5.700185 -0.000007
5.000000 -2.883910 -0.883910 449.107171 71.477626 449.116431 71.479100 0.006421 0.001968 -2.753325 0.728083 -0.000007
6.000000 -3.760465 -1.760465 476.239655 75.795895 476.254501 75.798258 0.007896 0.003696 -0.550158 0.227745 0.000002
7.000000 -5.442197 -3.442197 484.812972 77.160381 484.843516 77.165242 0.011225 0.007100 -1.070799 -0.815118 -0.000002
8.000000 -3.706136 -1.706136 498.912227 79.404347 498.925992 79.406538 0.007428 0.003420 -0.349483 -0.472282 -0.000002
