# Lp. sigma sigma_kor w_t�. f_t�. w_nie_t�. f_nie_t�. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.52658270 -0.52658270 83.16028214 13.23536997 83.19865471 13.24147716 0.03036807 0.00632922 -0.01400346 -0.10804461 -0.00000638
2.00000000 -2.55798164 -0.55798164 113.95119024 18.13589520 113.97989747 18.14046410 0.02244239 0.00489544 -0.05271059 -0.27716835 -0.00000870
3.00000000 -13.50556207 -11.50556207 126.43328916 20.12248294 127.15257298 20.23696052 0.10621541 0.09048627 -0.00072388 -0.08622866 -0.00000186
4.00000000 -2.77114756 -0.77114756 146.01092343 23.23836021 146.03721793 23.24254511 0.01897563 0.00528049 -0.00172427 0.00199468 -0.00000084
# Bieguny w przedziale od 25 do 45 Hz
1.000000 -5.585439 -3.585439 167.867169 26.716890 167.960066 26.731675 0.033255 0.021347 -0.011617 0.018411 0.000000
2.000000 -4.976681 -2.976681 214.462060 34.132697 214.519795 34.141886 0.023199 0.013876 -0.025381 -0.257509 -0.000001
3.000000 -3.096344 -1.096344 237.366462 37.778046 237.386656 37.781260 0.013043 0.004618 -0.241040 -1.092044 -0.000007
4.000000 -11.371179 -9.371179 249.213050 39.663489 249.472339 39.704756 0.045581 0.037564 0.152128 -0.215180 -0.000002
# Bieguny w przedziale od 45 do 80 Hz
1.000000 -9.297429 -7.297429 313.219002 49.850352 313.356962 49.872309 0.029670 0.023288 -0.068878 -0.087518 0.000001
2.000000 -14.845881 -12.845881 343.309749 54.639444 343.630593 54.690507 0.043203 0.037383 -0.525351 -0.356239 0.000002
3.000000 -6.440972 -4.440972 381.204363 60.670559 381.258773 60.679218 0.016894 0.011648 1.044161 1.494174 0.000002
4.000000 -16.371496 -14.371496 412.858031 65.708396 413.182502 65.760038 0.039623 0.034782 1.658210 4.024362 0.000002
5.000000 -4.719208 -2.719208 424.729260 67.597761 424.755477 67.601934 0.011110 0.006402 -0.078342 2.329927 0.000003
6.000000 -3.310116 -1.310116 448.834471 71.434225 448.846677 71.436167 0.007375 0.002919 0.324800 3.148503 0.000005
7.000000 -2.117678 -0.117678 473.246137 75.319462 473.250875 75.320216 0.004475 0.000249 0.150392 -0.038661 -0.000001
8.000000 -8.101388 -6.101388 488.221336 77.702839 488.288547 77.713536 0.016591 0.012495 -0.482138 0.511992 0.000000
9.000000 -2.372514 -0.372514 499.301828 79.466354 499.307465 79.467251 0.004752 0.000746 -0.003059 0.296127 0.000001
