# Lp. sigma sigma_kor w_t�. f_t�. w_nie_t�. f_nie_t�. ksi ksi_kor Re[R] Im[R] Amplituda
# Bieguny w przedziale od 55 do 74.5 Hz
1.00000000 -6.49111445 -4.49111445 357.96443989 56.97181006 358.02328806 56.98117604 0.01813043 0.01254420 0.16180001 -0.14008278 -0.00000033
2.00000000 -4.70497271 -2.70497271 380.62368381 60.57814074 380.65276230 60.58276872 0.01236027 0.00710614 -0.19738836 -0.14041120 -0.00000067
3.00000000 -3.04814757 -1.04814757 412.59531593 65.66658403 412.60657524 65.66837600 0.00738754 0.00254031 -0.64959249 -0.18818016 -0.00000181
4.00000000 -4.14516548 -2.14516548 425.81840456 67.77110394 425.83857981 67.77431494 0.00973412 0.00503751 0.34130514 0.79067692 0.00000124
5.00000000 -3.19110180 -1.19110180 448.81528860 71.43117172 448.82663292 71.43297722 0.00710988 0.00265381 -0.08491561 1.08366077 0.00000175
6.00000000 -3.37594485 -1.37594485 463.17646569 73.71682404 463.18876862 73.71878211 0.00728849 0.00297059 0.10287185 -0.06743574 0.00000053
# Bieguny w przedziale od 74.5 do 80 Hz
1.00000000 -3.17106532 -1.17106532 476.27204810 75.80105071 476.28260461 75.80273083 0.00665795 0.00245876 0.09319630 -0.36781357 -0.00000051
2.00000000 -3.23444007 -1.23444007 480.23565509 76.43187836 480.24654712 76.43361188 0.00673496 0.00257043 -0.06840248 -0.16886858 -0.00000034
3.00000000 -2.34852269 -0.34852269 495.41068871 78.84705997 495.41625533 78.84794592 0.00474050 0.00070349 0.06679342 -0.12154535 0.00000025
4.00000000 -2.33818004 -0.33818004 500.88235997 79.71790350 500.88781739 79.71877207 0.00466807 0.00067516 0.00309260 -0.05726598 0.00000026
# Bieguny w przedziale od 10 do 25 Hz
1.00000000 -2.37808658 -0.37808658 82.51586176 13.13280728 82.55012258 13.13826006 0.02880779 0.00458009 0.00301014 0.73257006 0.00004319
2.00000000 -2.53373816 -0.53373816 112.87740314 17.96499667 112.90583674 17.96952202 0.02244116 0.00472729 -0.03412913 1.15764882 0.00003491
# Bieguny w przedziale od 25 do 50 Hz
1.00000000 -6.41919995 -4.41919995 216.48808356 34.45514862 216.58323216 34.47029199 0.02963849 0.02040416 0.08987075 -0.48153846 -0.00000573
2.00000000 -3.41717912 -1.41717912 235.94561983 37.55191170 235.97036388 37.55584984 0.01448139 0.00600575 -0.26203575 -4.73520011 -0.00002482
3.00000000 -4.24545366 -2.24545366 298.72699189 47.54387739 298.75715817 47.54867851 0.01421038 0.00751598 -0.04101602 0.02146458 0.00000082
